lat,lon,Enb.avg_income,Enb.woz,Enbp.high_education,Enbp.independent,Enbp.low_education,Enbp.unemployed,Gcb.buurt,Gcb.buurtcode,Inp.Grey,Pnb.cohesion,Pnb.diversity,Pnb.good_life,Pnb.pop,Pnbp.complains_aq,Pnbp.complains_noise,Pnbp.feels_unsafe,Pnbp.mostly_by_car,Pnbp.mostly_walking,Pnbp.unhappy,Vc.milieuzone,Vc.mode_species,Vc.mode_tree_species,Vn.PM10_avg_2020,Vn.PM10_avg_2021,Vn.PM10_avg_2022,Vn.med_tree_height,Vn.number_species,Vn.number_tree_species,Vn.number_trees,Vn.prec_ann,Vn.tavg_ann,Vnp.Green
51414,5429,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.5341420566737433,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,,,,,,,,,64.5,9.945994059244791,0.0
51414,5430,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.07549920534262194,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,Oostenrijkse den,,,,7.5,,4.0,5.0,64.5,9.945994059244791,0.0
51414,5431,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.05460553547959275,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,Watercypres,,,,13.5,,1.0,3.0,64.5,9.945994059244791,0.30525141727022853
51414,5432,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.07860385377390185,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,Watercypres,,,,10.5,,7.0,11.0,64.5,9.945994059244791,0.2668329710499316
51414,5433,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.09802851036026286,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,LYSIMACHIA VULGARIS,Sierappel cv,,,,10.5,1.0,4.0,16.0,64.5,9.945994059244791,0.005270905968966074
51414,5434,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.1015235988943564,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,Boomhazelaar,,,,7.5,,3.0,13.0,,,0.0
51414,5435,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.06412088398849956,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,Amerikaanse eik,,,,21.0,,2.0,8.0,64.5,9.945994059244791,0.030929584401977305
51414,5436,42.0,263.0,35.79,68.9,28.8,7.0,Hanevoet,732,0.11522016030382923,6.4,0.57,7.7,40.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,Zomereik,,,,13.5,,4.0,8.0,64.5,9.945994059244791,0.009206184905093341
51414,5437,42.0,263.0,35.79,68.9,28.8,7.0,Hanevoet,732,0.09177973154407346,6.4,0.57,7.7,40.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,Moeraseik,,,,13.5,,6.0,14.0,64.5,9.945994059244791,0.0
51414,5438,42.0,263.0,35.79,68.9,28.8,7.0,Hanevoet,732,0.1325979998102745,6.4,0.57,7.7,40.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,Zomereik,,,,16.5,,5.0,19.0,64.5,9.945994059244791,0.020390119917906024
